"HO00004815","Atomic Blonde","Action", "An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.","1h 55min","David Leitch","Charlize Theron, James McAvoy, John Goodman","AC"
"HO00004950","Diary of a Wimpy Kid", "Childrens", "A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.", "1h 31m","Thor Freudenthal","Zachary Gordon, Devon Bostick, Robert Capron","CH"
"HO00005257","big sick","Romantic Comedy","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.","2 hours","Michael Showalter", "Kumail Nanjiani, Zoe Kazan, Holly Hunter","RC"
"HO00005496","My Neighbour Totoro","Art / Foreign","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","1h 28m", "Hayao Miyazaki", "Chika Sakamoto, Noriko Hidaka, Shigesato Itoi","AF"
